flat,mrt,mrt_dist,num_mrt_2km,supermarket_dist,num_supermarket_2km,hawker,hawker_dist,num_hawker_2km,school,school_dist,num_school_2km
535 HOUGANG ST 52,HOUGANG MRT STATION,0.621,9,0.402,16,Market Street Food Centre,1.972,2,Montfort Junior School,0.304,14
422 HOUGANG AVE 6,HOUGANG MRT STATION,0.428,10,0.237,16,Market Street Food Centre,1.95,2,Punggol Primary School,0.338,14
12C MARSILING LANE,MARSILING MRT STATION,1.033,3,1.033,7,Blks 20/21 Marsiling Lane,0.275,2,Marsiling Primary School,0.924,8
331B ANCHORVALE ST,FARMWAY LRT STATION,0.19,21,0.163,16,Market Street Food Centre,4.071,0,Springdale Primary School,0.113,14
405 YISHUN AVE 6,YISHUN MRT STATION,1.614,1,0.311,14,Chong Pang Market & Food Centre,2.363,0,North View Primary School,0.142,8
392 YISHUN AVE 6,YISHUN MRT STATION,1.582,1,0.473,12,Chong Pang Market & Food Centre,2.319,0,North View Primary School,0.172,8
256C SUMANG WALK,SOO TECK LRT STATION,0.147,20,0.102,16,Market Street Food Centre,5.238,0,Valour Primary School,0.387,13
274A JURONG WEST AVE 3,BOON LAY MRT STATION,1.536,2,0.385,8,Blk 505 Jurong West Street 52,1.676,1,Corporation Primary School,0.466,8
59C GEYLANG BAHRU,GEYLANG BAHRU MRT STATION,0.385,10,0.25,25,North Bridge Road Market & Food Centre,1.843,5,Bendemeer Primary School,0.347,5
352 BT BATOK ST 34,BUKIT GOMBAK MRT STATION,0.416,5,0.313,14,Market Street Food Centre,2.39,0,Dazhong Primary School,0.289,6
123 BISHAN ST 12,BISHAN MRT STATION,0.546,7,0.193,12,Blk 210 Toa Payoh Lorong 8,0.813,7,Guangyang Primary School,0.143,12
338 SEMBAWANG CRES,SEMBAWANG MRT STATION,0.639,2,0.476,16,Chong Pang Market & Food Centre,2.119,0,Canberra Primary School,0.605,8
560 HOUGANG ST 51,BUANGKOK MRT STATION,0.501,14,0.21,17,Market Street Food Centre,2.377,0,Palm View Primary School,0.44,17
27 GHIM MOH LINK,BUONA VISTA MRT STATION,0.579,7,0.127,16,Blk 20 Ghim Moh Road,0.451,5,Fairfield Methodist School (Primary),0.867,3
608 WOODLANDS RING RD,ADMIRALTY MRT STATION,0.696,4,0.221,14,Blks 20/21 Marsiling Lane,2.305,0,Woodlands Ring Primary School,0.175,10
46 TEBAN GDNS RD,JURONG EAST MRT STATION,1.465,2,0.248,15,Market Street Food Centre,2.612,0,Fuhua Primary School,1.886,2
58 GEYLANG BAHRU,GEYLANG BAHRU MRT STATION,0.476,10,0.364,24,Blks 79/79A Circuit Road,1.905,5,Bendemeer Primary School,0.323,5
273C COMPASSVALE LINK,BUANGKOK MRT STATION,0.246,14,0.241,15,Market Street Food Centre,2.975,0,North Vista Primary School,0.256,18
293 PUNGGOL CTRL,PUNGGOL MRT STATION,0.361,23,0.151,17,Market Street Food Centre,5.299,0,Punggol View Primary School,0.23,16
327B ANCHORVALE RD,FARMWAY LRT STATION,0.184,20,0.15,17,Market Street Food Centre,4.053,0,Springdale Primary School,0.18,14
861 YISHUN AVE 4,KHATIB MRT STATION,0.733,2,0.472,14,Chong Pang Market & Food Centre,1.977,1,Naval Base Primary School,0.151,9
839 JURONG WEST ST 81,PIONEER MRT STATION,0.836,2,0.241,8,Blk 505 Jurong West Street 52,2.935,0,Xingnan Primary School,0.549,8
932 YISHUN CTRL 1,YISHUN MRT STATION,0.416,2,0.126,16,Chong Pang Market & Food Centre,1.111,2,Northland Primary School,0.73,10
116 BT MERAH CTRL,REDHILL MRT STATION,0.658,5,0.312,17,Blk 115 Bukit Merah View,0.781,7,Gan Eng Seng Primary School,0.197,7
